epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
68,5959.57,0.92458,0.54293,0.01286,0.76687,0.64624,0.74132,0.54647,1.10036,1.08936,0.01139,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551
69,5992.16,0.92067,0.52557,0.01271,0.77738,0.72674,0.78156,0.58525,1.10615,1.14042,0.0112,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311
70,6022.78,0.9148,0.52596,0.01275,0.72831,0.66527,0.77072,0.57034,1.08653,1.09328,0.011,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
71,6055.64,0.9109,0.54079,0.01268,0.74733,0.64909,0.67216,0.5029,1.04532,1.14734,0.01098,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742
72,6098.09,0.90108,0.51047,0.01264,0.84399,0.63196,0.77507,0.58207,1.03985,1.06609,0.01053,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421
73,6143.83,0.91542,0.5146,0.01292,0.83279,0.63799,0.71742,0.53943,1.05207,1.10328,0.01066,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
74,6202.61,0.89238,0.50771,0.01232,0.77344,0.64905,0.73608,0.56264,1.01207,1.20913,0.01017,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728
75,6257.63,0.89832,0.49668,0.01226,0.73889,0.66144,0.73899,0.55538,1.0374,1.03462,0.01078,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366
76,6305.62,0.89179,0.49946,0.0123,0.75408,0.63853,0.71739,0.53459,1.04369,1.21542,0.01067,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,6461.46,0.87886,0.50834,0.01219,0.7395,0.66792,0.74527,0.55743,1.05728,1.11652,0.01087,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634
78,6605.02,0.87365,0.48968,0.01229,0.75753,0.64219,0.73557,0.56338,1.01398,1.17552,0.01031,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272
79,6763.41,0.88269,0.50057,0.01203,0.78756,0.63264,0.722,0.55515,1.02646,1.17061,0.01056,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
80,6936.77,0.86439,0.48032,0.01211,0.77591,0.65049,0.72038,0.54754,1.03771,1.17533,0.01076,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579
81,7087.81,0.85995,0.48384,0.01196,0.77126,0.63964,0.68922,0.53166,1.03966,1.11214,0.01081,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258
82,7147.35,0.85404,0.4833,0.0116,0.83542,0.63401,0.73522,0.57787,1.02401,0.97765,0.01047,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
83,7194.24,0.85407,0.46854,0.01176,0.77833,0.6715,0.73368,0.56926,1.0246,1.04282,0.01033,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689
84,7247.17,0.85766,0.47301,0.01174,0.76866,0.66646,0.712,0.53855,1.03055,1.00919,0.0106,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449
85,7294.11,0.85077,0.46457,0.0118,0.77785,0.65045,0.72573,0.55408,1.05083,1.07315,0.01095,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
86,7337.48,0.8439,0.46094,0.01168,0.74467,0.65008,0.72687,0.56223,1.04518,1.10491,0.0108,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084
