epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,1757.59,0.82324,0.46276,0.00952,0.92875,0.92141,0.96204,0.80306,0.73431,0.40367,0.01123,0.000278121,0.000278121,0.000278121
106,1774.33,0.79931,0.45473,0.0089,0.94368,0.91641,0.95845,0.79124,0.74111,0.40764,0.01141,0.000267558,0.000267558,0.000267558
107,1791.07,0.79909,0.45326,0.00889,0.93977,0.92292,0.95205,0.79522,0.73388,0.41831,0.01126,0.000257154,0.000257154,0.000257154
108,1807.73,0.79422,0.45613,0.00897,0.94462,0.91695,0.95964,0.80265,0.74173,0.40509,0.01154,0.000246915,0.000246915,0.000246915
109,1824.49,0.80483,0.46322,0.00893,0.9233,0.92215,0.96245,0.80283,0.73639,0.40964,0.01117,0.000236844,0.000236844,0.000236844
110,1841.16,0.80014,0.4511,0.00886,0.94061,0.9225,0.96676,0.80839,0.7409,0.37537,0.01119,0.000226946,0.000226946,0.000226946
111,1857.77,0.79523,0.45857,0.00913,0.93534,0.93068,0.96122,0.80334,0.72607,0.40707,0.01099,0.000217225,0.000217225,0.000217225
112,1874.44,0.80609,0.45242,0.00918,0.92648,0.92567,0.96105,0.81003,0.73253,0.39435,0.01104,0.000207686,0.000207686,0.000207686
113,1891.22,0.78783,0.4385,0.0087,0.93748,0.94655,0.96186,0.80619,0.74266,0.38431,0.01127,0.000198333,0.000198333,0.000198333
114,1907.85,0.79203,0.44194,0.00884,0.94399,0.93139,0.96267,0.80744,0.72861,0.39519,0.01103,0.00018917,0.00018917,0.00018917
115,1924.65,0.77974,0.43475,0.00876,0.94872,0.92023,0.96246,0.80445,0.72418,0.39916,0.01094,0.000180201,0.000180201,0.000180201
116,1941.66,0.79829,0.43434,0.00889,0.94218,0.92878,0.95563,0.8017,0.7277,0.40225,0.01099,0.000171429,0.000171429,0.000171429
117,1958.81,0.78042,0.42546,0.00881,0.9408,0.9227,0.96023,0.81325,0.71685,0.39218,0.01067,0.000162859,0.000162859,0.000162859
118,1975.63,0.77807,0.41862,0.0085,0.93501,0.92554,0.95734,0.80888,0.71657,0.41038,0.0106,0.000154495,0.000154495,0.000154495
119,1992.37,0.77658,0.43836,0.0087,0.92743,0.94325,0.96523,0.81027,0.71961,0.40488,0.01065,0.00014634,0.00014634,0.00014634
120,2009.06,0.76566,0.42775,0.00848,0.94717,0.92459,0.9565,0.80333,0.72118,0.41025,0.0108,0.000138397,0.000138397,0.000138397
121,2025.68,0.75842,0.4124,0.0084,0.94536,0.93791,0.95859,0.80785,0.72671,0.39445,0.0109,0.000130671,0.000130671,0.000130671
122,2042.36,0.76973,0.44545,0.00875,0.94596,0.92765,0.95871,0.80818,0.72438,0.40499,0.01069,0.000123164,0.000123164,0.000123164
123,2059.13,0.76199,0.41866,0.0086,0.94409,0.92542,0.95861,0.80701,0.72017,0.40541,0.01066,0.00011588,0.00011588,0.00011588
124,2075.79,0.75852,0.4147,0.00853,0.93557,0.93557,0.96122,0.80918,0.71511,0.40487,0.01072,0.000108822,0.000108822,0.000108822
125,2092.52,0.75502,0.41654,0.00842,0.94869,0.92578,0.96274,0.80904,0.71792,0.39279,0.01077,0.000101993,0.000101993,0.000101993
126,2109.29,0.76543,0.42171,0.00836,0.94472,0.94078,0.96164,0.80667,0.73213,0.39028,0.01098,9.53968e-05,9.53968e-05,9.53968e-05
127,2126.02,0.75396,0.42059,0.00861,0.91662,0.94002,0.95828,0.80625,0.72515,0.40422,0.01076,8.90352e-05,8.90352e-05,8.90352e-05
128,2142.72,0.7497,0.41107,0.00857,0.92925,0.93862,0.96081,0.80507,0.7306,0.40566,0.011,8.29115e-05,8.29115e-05,8.29115e-05
129,2159.46,0.76389,0.42337,0.00843,0.93714,0.92986,0.96088,0.80939,0.72665,0.39973,0.01091,7.70283e-05,7.70283e-05,7.70283e-05
130,2176.11,0.75853,0.41994,0.00844,0.93599,0.93156,0.96108,0.81081,0.72613,0.40535,0.01104,7.13883e-05,7.13883e-05,7.13883e-05
131,2192.76,0.75659,0.40942,0.00861,0.93431,0.92511,0.95805,0.80739,0.72102,0.39367,0.01086,6.59937e-05,6.59937e-05,6.59937e-05
132,2209.4,0.74252,0.40362,0.00812,0.9326,0.92871,0.9547,0.8047,0.72098,0.39937,0.01088,6.08472e-05,6.08472e-05,6.08472e-05
133,2226.15,0.75267,0.41111,0.00856,0.93886,0.9179,0.95498,0.80339,0.72843,0.40826,0.01094,5.59508e-05,5.59508e-05,5.59508e-05
134,2242.88,0.74786,0.40115,0.00834,0.94764,0.914,0.958,0.80539,0.73228,0.39693,0.01104,5.13068e-05,5.13068e-05,5.13068e-05
135,2259.89,0.76181,0.39944,0.00843,0.94753,0.93003,0.96333,0.81144,0.7287,0.38251,0.011,4.69171e-05,4.69171e-05,4.69171e-05
136,2276.5,0.75395,0.40775,0.00846,0.95112,0.9201,0.96133,0.81068,0.72109,0.39508,0.0108,4.27838e-05,4.27838e-05,4.27838e-05
137,2293.41,0.75529,0.4096,0.00854,0.95284,0.91381,0.96206,0.80826,0.72356,0.40427,0.0108,3.89086e-05,3.89086e-05,3.89086e-05
138,2310.22,0.75563,0.4121,0.00861,0.95651,0.90981,0.96204,0.81161,0.72583,0.40315,0.01088,3.52932e-05,3.52932e-05,3.52932e-05
139,2326.96,0.75158,0.4131,0.00826,0.94626,0.9266,0.9613,0.81016,0.72408,0.39527,0.01085,3.19392e-05,3.19392e-05,3.19392e-05
140,2343.74,0.74669,0.40357,0.00828,0.94888,0.92243,0.95786,0.80501,0.72345,0.40183,0.01082,2.88481e-05,2.88481e-05,2.88481e-05
141,2371.68,0.63885,0.25012,0.00909,0.94353,0.92863,0.95001,0.79644,0.72743,0.42192,0.01093,2.60212e-05,2.60212e-05,2.60212e-05
142,2388.4,0.63669,0.24542,0.00887,0.9392,0.91765,0.94972,0.79494,0.72561,0.43589,0.01083,2.34598e-05,2.34598e-05,2.34598e-05
143,2405.06,0.62924,0.24581,0.00862,0.94966,0.90989,0.9518,0.79878,0.72885,0.42009,0.01093,2.1165e-05,2.1165e-05,2.1165e-05
144,2421.75,0.617,0.23145,0.00867,0.95047,0.91728,0.95458,0.80178,0.72578,0.41431,0.01086,1.91377e-05,1.91377e-05,1.91377e-05
145,2438.37,0.6231,0.2306,0.00871,0.95281,0.9184,0.95688,0.80444,0.724,0.42207,0.01083,1.7379e-05,1.7379e-05,1.7379e-05
146,2455.03,0.62277,0.22755,0.00857,0.94307,0.91611,0.95454,0.80224,0.72496,0.427,0.01081,1.58896e-05,1.58896e-05,1.58896e-05
147,2471.73,0.62505,0.23597,0.00874,0.94103,0.91969,0.95699,0.80324,0.72601,0.42882,0.01084,1.467e-05,1.467e-05,1.467e-05
